,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
163,KimKardashian,Sun Jun 24 19:45:00 +0000 2018,Keep them coming you guys!! 😍 Love seeing you all at the @kkwbeauty pop-up! https://t.co/WV9WmcDODN,0.8433,0.335,0.0,0.665,37
164,KimKardashian,Sun Jun 24 19:32:50 +0000 2018,RT @KKHOfficial: Happy Kimiversary! We love hearing all your funny stories about how you’ve become addicted to the game 😂 https://t.co/XHMt…,0.9324,0.405,0.052,0.544,36
165,KimKardashian,Sun Jun 24 19:31:36 +0000 2018,RT @KimKLegion: Happy Anniversary to the game that made our summer 4 years ago by letting us wear designer clothes and travel all over the…,0.5719,0.139,0.0,0.861,35
166,KimKardashian,Sun Jun 24 19:31:13 +0000 2018,RT @theholykardash: Happy 4th Anniversary Kim Kardashian: Hollywood! https://t.co/5LHGyRpVO9,0.6114,0.333,0.0,0.667,34
167,KimKardashian,Sun Jun 24 16:26:07 +0000 2018,RT @kkwbeauty: Visit us at our Pop-Up at @WestfieldCC in Los Angeles and enter for a chance to meet @KimKardashian and @MakeupByMario! Find…,0.3164,0.098,0.0,0.902,33
168,KimKardashian,Sun Jun 24 16:09:57 +0000 2018,Can you believe it’s been 4 years since I launched the #KimKardashianGame? Thank you to all the amazing players for… https://t.co/ywazyo5YJm,0.7783,0.328,0.0,0.672,32
169,KimKardashian,Sun Jun 24 04:10:44 +0000 2018,@narcicismo Happy Birthday!!!!!! Hope you have a magical birthday!,0.8302,0.564,0.0,0.436,31
170,KimKardashian,Sat Jun 23 14:42:15 +0000 2018,All of them seriously. Such a vibe https://t.co/PgY0CjcUnr,-0.1779,0.0,0.221,0.779,30
171,KimKardashian,Sat Jun 23 14:32:35 +0000 2018,RT @KimKardashian: Well I will be an even better friend and tell you to get rid of those horrendous pants!  https://t.co/FqSZN3FHK7,0.5707,0.3,0.134,0.566,29
172,KimKardashian,Sat Jun 23 14:16:39 +0000 2018,RT @bypcasso: Y’all wanted backpacker beat banger Ye back. Soooooooo #KTSE #DAYTONA #KSG #Ye #NASIR https://t.co/7fpH4BWdho,0.0,0.0,0.0,1.0,28
173,KimKardashian,Sat Jun 23 14:12:33 +0000 2018,RT @TEYANATAYLOR: KTSEEEEEEEEEEEEEEEEEEEEE https://t.co/LTYt50C2mZ,0.0,0.0,0.0,1.0,27
174,KimKardashian,Sat Jun 23 13:58:15 +0000 2018,"RT @kkwbeauty: The #KKWXMARIO collection (bundle, palette, lipstick &amp; glosses) is available for purchase TODAY exclusively at the #KKWBEAUT…",0.0,0.0,0.0,1.0,26
175,KimKardashian,Sat Jun 23 05:14:57 +0000 2018,"RT @LouisVuitton: .@KimKardashian and @KanyeWest at the @LouisVuitton #LVMenSS19 Show by @VirgilAbloh.
Watch the Spring-Summer 2019 Men’s S…",0.0,0.0,0.0,1.0,25
176,KimKardashian,Fri Jun 22 23:48:03 +0000 2018,"The full #KKWXMARIO collection (bundle, palette, lipstick &amp; glosses) is available for purchase tomorrow, 06.23, exc… https://t.co/38jBBBaPw9",0.0,0.0,0.0,1.0,24
177,KimKardashian,Fri Jun 22 15:47:39 +0000 2018,My return to Paris https://t.co/8to4rseBX4,0.0,0.0,0.0,1.0,23
178,KimKardashian,Fri Jun 22 14:45:20 +0000 2018,💋 https://t.co/dq0OSZk5Pf,0.4215,0.583,0.0,0.417,22
179,KimKardashian,Fri Jun 22 14:45:10 +0000 2018,😍 https://t.co/1lJspuqMLY,0.4588,0.429,0.0,0.571,21
180,KimKardashian,Fri Jun 22 14:43:07 +0000 2018,Free continental US shipping until 12PM PST on https://t.co/PoBZ3byUQI 💋 https://t.co/2kRPEapFYB,0.7269,0.379,0.0,0.621,20
181,KimKardashian,Fri Jun 22 14:41:50 +0000 2018,"RT @KKWFRAGRANCE: To celebrate @kkwbeauty’s 1 year anniversary, we are applying FREE SHIPPING on continental US orders &amp; 10% off on interna…",0.8286,0.289,0.0,0.711,19
182,KimKardashian,Fri Jun 22 09:30:38 +0000 2018,Thank you! I know you will love them https://t.co/HTPrFaKyPh,0.7901,0.538,0.0,0.462,18
183,KimKardashian,Fri Jun 22 08:46:22 +0000 2018,RT @kkwbeauty: Celebrate #KKWBEAUTY’s 1 Year Anniversary with us at our Pop-Up at @WestfieldCC in Los Angeles and enter for a chance to mee…,0.6908,0.222,0.0,0.778,17
184,KimKardashian,Fri Jun 22 08:46:13 +0000 2018,RT @kkwbeauty: Free shipping on continental US orders for 24 hours starting at 12PM PST on https://t.co/32qaKbav78. Details below! https://…,0.5562,0.159,0.0,0.841,16
185,KimKardashian,Fri Jun 22 08:43:25 +0000 2018,NUDE 7 💋 https://t.co/VhCIUZQBSO https://t.co/rc8ZAJ9KAT,0.4215,0.412,0.0,0.588,15
186,KimKardashian,Fri Jun 22 08:42:31 +0000 2018,Crème Lipsticks in Nude 4 and 6 😍 Shop now: https://t.co/VhCIUZQBSO https://t.co/pJzCqNYTXy,0.4588,0.2,0.0,0.8,14
187,KimKardashian,Fri Jun 22 06:15:03 +0000 2018,Pulling up #KeepThatSameEnergy #TeyanaTaylor,0.0,0.0,0.0,1.0,13
188,KimKardashian,Fri Jun 22 06:14:23 +0000 2018,RT @kanyewest: https://t.co/gy60h56Izv,0.0,0.0,0.0,1.0,12
189,KimKardashian,Fri Jun 22 03:55:14 +0000 2018,This whole flight back from Paris Kanye has been finishing up Teyana’s record OMG it’s soooo good!!!!,0.0,0.0,0.0,1.0,11
